"Var1","Freq"
"Africa",27630
"America",27630
"Argentina",27630
"Asia",27630
"Australia",27630
"Bangladesh",27630
"Brazil",27630
"Canada",27630
"Chile",27630
"China",27630
"Czechia",27630
"Denmark",27630
"Europe",27630
"European Union",27630
"France",27630
"G20",27630
"Germany",27630
"Global",27630
"India",27630
"Indonesia",27630
"Iran (Islamic Republic of)",27630
"Israel",27630
"Italy",27630
"Japan",27630
"Kenya",27630
"Mexico",27630
"Netherlands",27630
"New Zealand",27630
"Nigeria",27630
"Nordic Region",27630
"Peru",27630
"Poland",27630
"Russian Federation",27630
"South Africa",27630
"Spain",27630
"Sweden",27630
"Turkey",27630
"United Kingdom",27630
"United States of America",27630
"Uruguay",27630
