DATE,A792RC0A052NBEA
1929-01-01,700
1930-01-01,621
1931-01-01,529
1932-01-01,403.0
1933-01-01,376
1934-01-01,428.0
1935-01-01,478
1936-01-01,540
1937-01-01,579
1938-01-01,532
1939-01-01,562
1940-01-01,601
1941-01-01,734
1942-01-01,940
1943-01-01,1142
1944-01-01,1226
1945-01-01,1256
1946-01-01,1291.0
1947-01-01,1349.0
1948-01-01,1456.0
1949-01-01,1415.0
1950-01-01,1541.0
1951-01-01,1713.0
1952-01-01,1800.0
1953-01-01,1875.0
1954-01-01,1861.0
1955-01-01,1961.0
1956-01-01,2068.0
1957-01-01,2149.0
1958-01-01,2176.0
1959-01-01,2274.0
1960-01-01,2335.0
1961-01-01,2398.0
1962-01-01,2513.0
1963-01-01,2603
1964-01-01,2752.0
1965-01-01,2936.0
1966-01-01,3155.0
1967-01-01,3350
1968-01-01,3641.0
1969-01-01,3948.0
1970-01-01,4218.0
1971-01-01,4491.0
1972-01-01,4880.0
1973-01-01,5383.0
1974-01-01,5852.0
1975-01-01,6340.0
1976-01-01,6890.0
1977-01-01,7532.0
1978-01-01,8371.0
1979-01-01,9252.0
1980-01-01,10204.0
1981-01-01,11326.0
1982-01-01,12021.0
1983-01-01,12721.0
1984-01-01,13929.0
1985-01-01,14779.0
1986-01-01,15510.0
1987-01-01,16313.0
1988-01-01,17479.0
1989-01-01,18698.0
1990-01-01,19641.0
1991-01-01,20056.0
1992-01-01,21099.0
1993-01-01,21738.0
1994-01-01,22574.0
1995-01-01,23600.0
1996-01-01,24762.0
1997-01-01,25984.0
1998-01-01,27545.0
1999-01-01,28665.0
2000-01-01,30651.0
2001-01-01,31599.0
2002-01-01,31814.0
2003-01-01,32683.0
2004-01-01,34250.0
2005-01-01,35828.0
2006-01-01,38099.0
2007-01-01,39846.0
2008-01-01,40971.0
2009-01-01,39319.0
2010-01-01,40657.0
2011-01-01,42753.0
2012-01-01,44602.0
2013-01-01,44866.0
2014-01-01,47003.0
2015-01-01,48876.0
2016-01-01,49807.0
2017-01-01,51812.0
2018-01-01,54155.0
2019-01-01,56082.0
2020-01-01,59450.0
2021-01-01,63551.0
