year,population,wtp_diffS,wtp_diffpop
1933,1.2525809409e8,29598.40630604509,1.723408081163784e13
1934,1.2599559285999997e8,28915.29902254768,1.7420082832112244e13
1935,1.2683414044999999e8,29557.07114146412,1.7613400850563438e13
1936,1.2768229458999999e8,28266.16615329544,1.7804299134686355e13
1937,1.2846660375e8,29323.602283454522,1.798460609688505e13
1938,1.2935527308999996e8,31352.15160495795,1.8174903814331375e13
1939,1.3039135166000001e8,31700.60663495262,1.8380627533745266e13
1940,1.3145817283e8,31658.82518508076,1.8591113745484344e13
1941,1.3257981624000001e8,32823.69342840016,1.8810306600901316e13
1942,1.3356662771e8,33840.74297472804,1.901073833160338e13
1943,1.3413309832999997e8,33049.67235802402,1.9148887138279043e13
1944,1.3360661948e8,34510.963636244225,1.91485461410773e13
1945,1.3272377613999999e8,35334.521792205436,1.911136361810382e13
1946,1.3631531665e8,36461.99357859706,1.9629318891535027e13
1947,1.4179058231999996e8,36570.82292319032,2.0350024003524586e13
1948,1.4479453820999998e8,37303.49484461262,2.0744997044449812e13
1949,1.4738777604000002e8,38087.589505444965,2.1106487943682906e13
1950,1.4995340429000002e8,38646.5896230888,2.14675028391309e13
1951,1.5228406143e8,38898.7180671901,2.1799462681618203e13
1952,1.5451617078000003e8,39466.45799555897,2.211995863268933e13
1953,1.5699732489e8,39871.51098168225,2.2465366145012e13
1954,1.5973433576999998e8,41557.017436681555,2.2839488274485105e13
1955,1.6277549214e8,41451.97021506204,2.3252310305372324e13
1956,1.6585127175e8,41556.34698456901,2.3666269160769855e13
1957,1.6888956692e8,40991.75550673799,2.4071785382583625e13
1958,1.7189920016999996e8,41527.13212926152,2.4469191895204707e13
1959,1.7569584656e8,42075.19496336213,2.4971694255526535e13
1960,1.7861279814e8,41785.288836119566,2.5367745017836645e13
1961,1.8155180395e8,42707.4078969323,2.57668480791516e13
1962,1.844424456e8,42304.66203331001,2.6158654098123305e13
1963,1.8719179675000003e8,41855.7446173645,2.653704233114627e13
1964,1.8986425013000003e8,42665.58584943725,2.690984278948128e13
1965,1.9239102236000004e8,42679.813095033,2.7274712082315242e13
1966,1.9460531432e8,42569.834952285964,2.7610859739582227e13
1967,1.9655394743999994e8,43293.209927074895,2.7926378452147562e13
1968,1.9845311853999996e8,42491.33004800271,2.8242808843727832e13
1969,2.0042935425e8,43252.42254103613,2.8570213233976227e13
1970,2.0269253018999994e8,43860.17212015751,2.892985372864056e13
1971,2.0537762517000005e8,44501.86830393705,2.934063109789697e13
1972,2.0799694539e8,44504.38955513107,2.97530346085907e13
1973,2.1024999146e8,45038.32177892512,3.0137640750572152e13
1974,2.1224845349999997e8,46366.58454814443,3.0498773846701348e13
1975,2.1428152035000002e8,47814.574459841584,3.0868765580831086e13
1976,2.1639408351000002e8,48379.61352422902,3.125425483631735e13
1977,2.1854098925000003e8,49387.46097949618,3.1647014722732094e13
1978,2.2082542857e8,49791.893835135386,3.2056717604755445e13
1979,2.2325475594999993e8,50909.97491595092,3.2485612541770594e13
1980,2.2579648939000002e8,50461.582952274344,3.291759140939777e13
1981,2.2828944535e8,51335.769736309725,3.333699936486833e13
1982,2.3047577567999998e8,52101.12850565912,3.370616145357283e13
1983,2.3265015648e8,52102.544342629175,3.4077309328533582e13
1984,2.347264986900001e8,52437.99136874616,3.4437252065170043e13
1985,2.3679399344000003e8,52353.685067526436,3.479652909171724e13
1986,2.3894459349e8,52692.62807042025,3.516484155082217e13
1987,2.4111265403e8,53053.90923356887,3.553658115459172e13
1988,2.4330266616000003e8,53021.410940990536,3.5912015606353234e13
1989,2.4556353433000004e8,53900.20271145576,3.629444720547479e13
1990,2.4811086659000003e8,54592.32570431508,3.6711819382791664e13
1991,2.51200293e8,54992.41586542831,3.721008076285072e13
1992,2.5460704758e8,55605.96946622719,3.775905755206664e13
1993,2.5807802365999997e8,54980.80680907436,3.8324480275889305e13
1994,2.6133512291000003e8,55454.3028920907,3.886573713079627e13
1995,2.6449480914999998e8,55649.2638630562,3.940434182048684e13
1996,2.6757591885e8,56278.03129873567,3.994014035358665e13
1997,2.707135690500001e8,56972.934499211915,4.049164219403255e13
1998,2.7391170549e8,57323.41066263267,4.105771550939008e13
1999,2.7708701223e8,57253.49034936023,4.162658961072789e13
2000,2.8015470699999994e8,57658.46225045537,4.2182871156319125e13
2001,2.8312670037e8,58053.78309061364,4.274058593652058e13
2002,2.8590235452000004e8,58300.01726198665,4.328464930496595e13
2003,2.8846605118000007e8,58793.95503827134,4.380596984553854e13
2004,2.9106007299999994e8,60028.04143896971,4.4335861588358984e13
2005,2.9381530875e8,60073.0877803211,4.489270922538521e13
2006,2.9660907984999996e8,60988.557911911426,4.545800388281184e13
2007,2.994986398299999e8,61765.789710291225,4.603695401477245e13
2008,3.024248296200002e8,61895.5491156261,4.6623401027953625e13
2009,3.0525441811999995e8,63004.01514054365,4.720465477239985e13
2010,3.0795049634e8,63467.27836451303,4.777234979586668e13
2011,3.1037365075e8,63625.9858447633,4.829717793863734e13
2012,3.126341115e8,64002.85063174153,4.879704387868411e13
2013,3.1487133745e8,64017.05538590046,4.929071379741938e13
2014,3.171144132099999e8,64307.0237292175,4.97785838887841e13
2015,3.1945332488000005e8,63985.99533837821,5.027177054388495e13
2016,3.2177342297000015e8,64183.414671897495,5.0755659556686086e13
2017,3.2396294112999994e8,64113.03781702047,5.1218549299116984e13
2018,3.258453806799999e8,64519.75725660364,5.163641851834486e13
2019,3.271756138400001e8,65017.624783487234,5.1982026219346234e13
